"Category","Produksi  Padi"
"Jawa Timur",17.361560447636606
"Jawa Tengah",16.777444921103285
"Jawa Barat",16.39600523783789
"Sulawesi Selatan",9.007528369725966
"Sumatera Selatan",5.202780793410973
"Lampung",4.675654370487766
"Sumatera Utara",4.320901146301643
"Aceh",3.067236649300317
"Banten",2.9684821889164064
"Sumatera Barat",2.7587708817993053
"Provinsi Lainnya",17.463634993479857
